"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1857","TC#2 User Registration click close button","chromium","2026-05-18","passed","2026-05-18","","userregistrationcancel.spec.ts","",""
"","2292","TC#1 User registration success","chromium","2026-05-18","passed","2026-05-18","","userregistration.spec.ts","",""
"","1527","TC#5 User Valid username and Invalid password","chromium","2026-05-18","passed","2026-05-18","","validuserinvalidpass.spec.ts","",""
"","2752","TC#3 User Valid username and Valid password","chromium","2026-05-18","passed","2026-05-18","","validusercredentials.spec.ts","",""
"","4100","TC#9 Add to cart Item Monitor","chromium","2026-05-18","passed","2026-05-18","","checkoutmonitor.spec.ts","",""
"","2725","TC#10 Log out valid user","chromium","2026-05-18","passed","2026-05-18","","logoutuser.spec.ts","",""
"","1571","TC#6 User Invalid username and Invalid password","chromium","2026-05-18","passed","2026-05-18","","invaliduserinvalidpass.spec.ts","",""
"","1498","TC#4 User Invalid username and Valid password","chromium","2026-05-18","passed","2026-05-18","","invaliduservalidpass.spec.ts","",""
"","4443","TC#8 Add to cart Item Phone","chromium","2026-05-18","passed","2026-05-18","","checkoutphone.spec.ts","",""
"","3091","TC#8 Add to Item to cart","chromium","2026-05-18","passed","2026-05-18","","additemtocart.spec.ts","",""
