"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18780","TC#10 Log out valid user","chromium","2026-05-14","passed","2026-05-14","","Main.spec.ts","",""
"","4795","get started link","chromium","2026-05-14","passed","2026-05-14","","example.spec.ts","",""
"","15671","TC#7 Add Item to cart","chromium","2026-05-14","passed","2026-05-14","","Main.spec.ts","",""
"","11174","TC#4 User Invalid username and Valid password","chromium","2026-05-14","passed","2026-05-14","","Main.spec.ts","",""
"","16359","TC#6 User Invalid username and Invalid password","chromium","2026-05-14","passed","2026-05-14","","Main.spec.ts","",""
"","11264","TC#1 User registration success","chromium","2026-05-14","passed","2026-05-14","","Main.spec.ts","",""
"","11194","TC#2 User Registration click close button","chromium","2026-05-14","passed","2026-05-14","","Main.spec.ts","",""
"","11426","TC#5 User Valid username and Invalid password","chromium","2026-05-14","passed","2026-05-14","","Main.spec.ts","",""
"","32735","TC#8 Add to cart Item Phone","chromium","2026-05-14","broken","2026-05-14","","Main.spec.ts","",""
"","3503","has title","chromium","2026-05-14","passed","2026-05-14","","example.spec.ts","",""
"","30419","TC#9 Add to cart Item Monitor","chromium","2026-05-14","broken","2026-05-14","","Main.spec.ts","",""
"","11266","TC#3 User Valid username and Valid password","chromium","2026-05-14","passed","2026-05-14","","Main.spec.ts","",""
